trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,event_type,fix_dur,fix_kind,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
64,3,18.0,Incongruent,18_0.449_0.204.png,1.2018334865570068,0.456,0.199,,,,7.231637239456177,45.63928985595703,1.0,1.2712734937667847,hidden,47.910560607910156,2.5,1.460363745689392,fixation,1.0
65,3,3.0,Incongruent,3_0.102_0.265.png,1.3284250497817993,0.095,0.256,,,,7.182950377464294,54.072757720947266,1.0,1.2836425304412842,hidden,56.35640335083008,2.5,1.3993078470230103,fixation,1.0
66,3,18.0,Incongruent,18_0.653_0.000.png,1.3344838619232178,0.655,0.0,,,,7.228367924690247,62.58413314819336,1.0,1.2701950073242188,hidden,64.85433197021484,2.5,1.4581729173660278,fixation,1.0
67,3,22.0,Congruent,13b_0.612_0.388.png,1.210426688194275,0.619,0.396,,,,7.017293930053711,71.14698791503906,1.0,1.3781112432479858,hidden,73.52510070800781,2.5,1.139182686805725,fixation,1.0
68,3,9.0,Medium,9_0.163_0.469.png,1.3747172355651855,0.165,0.472,,,,7.006309509277344,79.37471008300781,1.0,1.342007040977478,hidden,81.71671295166016,2.5,1.1643024682998657,fixation,1.0
69,3,8.0,Congruent,8_0.510_0.980.png,1.3407330513000488,0.507,0.979,,,,7.151186466217041,87.7557373046875,1.0,1.2898508310317993,hidden,90.04558563232422,2.5,1.3613356351852417,fixation,1.0
70,3,20.0,Medium,20_0.898_0.755.png,1.247897744178772,0.904,0.764,,,,7.0322136878967285,96.24765014648438,1.0,1.3711789846420288,hidden,98.61883544921875,2.5,1.1610347032546997,fixation,1.0
71,3,2.0,Incongruent,2_0.653_0.531.png,1.4544589519500732,0.645,0.537,,,,6.818855881690979,104.52776336669922,1.0,1.0850741863250732,hidden,106.61283874511719,2.5,1.2337816953659058,fixation,1.0
72,3,8.0,Congruent,8_0.918_0.286.png,1.2031059265136719,0.918,0.285,,,,6.94946813583374,112.80107879638672,1.0,1.2090365886688232,hidden,115.01011657714844,2.5,1.240431547164917,fixation,1.0
73,3,22.0,Congruent,13b_0.490_0.796.png,1.2602734565734863,0.498,0.789,,,,7.00888991355896,120.95365142822266,1.0,1.2468186616897583,hidden,123.20046997070312,2.5,1.2620712518692017,fixation,1.0
74,3,2.0,Incongruent,2_0.898_0.000.png,1.4231117963790894,0.897,0.008,,,,7.364877223968506,129.2228240966797,1.0,1.3830760717391968,hidden,131.60589599609375,2.5,1.481801152229309,fixation,1.0
75,3,11.0,Congruent,11_0.673_0.469.png,1.3894891738891602,0.671,0.479,,,,7.2451417446136475,138.01080322265625,1.0,1.3063701391220093,hidden,140.31716918945312,2.5,1.4387716054916382,fixation,1.0
76,3,1.0,Medium,1_0.694_0.510.png,1.230762004852295,0.698,0.513,,,,6.910830855369568,146.6454315185547,1.0,1.2062064409255981,hidden,148.8516387939453,2.5,1.2046244144439697,fixation,1.0
77,3,3.0,Incongruent,3_0.490_0.224.png,1.4149397611618042,0.493,0.228,,,,7.139173746109009,154.7870330810547,1.0,1.1754603385925293,hidden,156.96249389648438,2.5,1.4637134075164795,fixation,1.0
78,3,22.0,Congruent,13b_0.857_0.367.png,1.2793147563934326,0.853,0.36,,,,7.0091516971588135,163.3411407470703,1.0,1.1268216371536255,hidden,165.4679718017578,2.5,1.382330060005188,fixation,1.0
79,3,1.0,Medium,1_0.490_0.224.png,1.2067549228668213,0.491,0.22,,,,6.972030758857727,171.62960815429688,1.0,1.3871731758117676,hidden,174.01678466796875,2.5,1.0848575830459595,fixation,1.0
80,3,20.0,Medium,20_0.959_0.388.png,1.4670519828796387,0.959,0.393,,,,7.306450366973877,179.8083953857422,1.0,1.3764421939849854,hidden,182.18484497070312,2.5,1.4300081729888916,fixation,1.0
81,3,18.0,Incongruent,18_0.265_0.163.png,1.4146443605422974,0.272,0.169,,,,6.979203939437866,188.58189392089844,1.0,1.124677062034607,hidden,190.70657348632812,2.5,1.3545268774032593,fixation,1.0
82,3,11.0,Congruent,11_0.449_0.531.png,1.4509429931640625,0.457,0.533,,,,7.126020789146423,196.97573852539062,1.0,1.367283582687378,hidden,199.34303283691406,2.5,1.2587372064590454,fixation,1.0
83,3,9.0,Medium,9_0.408_0.347.png,1.294758677482605,0.404,0.344,,,,6.861571669578552,205.55270385742188,1.0,1.1325517892837524,hidden,207.6852569580078,2.5,1.2290198802947998,fixation,1.0
84,3,3.0,Incongruent,3_0.245_0.082.png,1.380569577217102,0.251,0.085,,,,7.099626779556274,213.70904541015625,1.0,1.281314492225647,hidden,215.9903564453125,2.5,1.3183122873306274,fixation,1.0
85,3,1.0,Medium,1_0.959_0.367.png,1.2790979146957397,0.951,0.358,,,,7.075887441635132,222.18923950195312,1.0,1.1791430711746216,hidden,224.36837768554688,2.5,1.3967443704605103,fixation,1.0
